Event Name,Event Time,Status,External Url
Omaha Azure User Group Meeting - March'2023,"Mar 22, 2023 11:00 PM - Mar 23, 2023 01:00 AM",APPROVED,https://teams.microsoft.com/l/meetup-join/19%3ameeting_ODliYjQ1MDctNTM5NC00MTUzLWI2ZDYtNDA2MjVhZjUyY2Ni%40thread.v2/0?context=%7b%22Tid%22%3a%22efc9b7c0-f60d-4a8d-8dbd-10b21fcba714%22%2c%22Oid%22%3a%22da2d4898-d2ac-4168-b35e-b91dc2152f4e%22%7d
Unconventional Networking: Landing Interviews & Offers Through Community,"Sep 29, 2022 06:00 PM - Sep 29, 2022 07:00 PM",APPROVED,
