Ad clicked Date,Ad Title/Id
2026/03/08 23:25:25 UTC,145111864
2026/05/28 11:36:22 UTC,1421067956
2026/03/08 23:26:42 UTC,145111864
2026/05/28 11:36:28 UTC,1421067956
2026/01/09 12:19:45 UTC,145111864
2026/05/28 11:36:57 UTC,1421067956
2026/01/09 12:21:23 UTC,145111864
2026/05/28 11:37:02 UTC,1421067956
2025/07/30 23:30:39 UTC,745190743
2026/05/28 11:37:03 UTC,1421067956
2025/07/31 01:56:27 UTC,739795836
2026/05/25 19:33:56 UTC,1291020314
2025/07/31 01:57:50 UTC,620585516
2026/05/21 11:33:06 UTC,1392960786
2024/11/26 19:29:26 UTC,516167534
2026/05/21 16:24:28 UTC,749644226
2024/11/26 19:29:30 UTC,520875084
2026/05/21 18:12:10 UTC,1382256596
2025/04/27 19:00:08 UTC,661641113
2026/05/21 03:30:30 UTC,908224576
2026/03/04 02:11:41 UTC,145111864
2026/05/19 18:06:54 UTC,1287485424
2026/03/04 02:12:02 UTC,145111864
2026/05/19 12:20:51 UTC,1287990924
2026/03/17 12:21:18 UTC,1303794416
2026/05/18 11:51:32 UTC,1293020214
2026/03/18 00:44:36 UTC,745190743
2026/05/18 22:47:09 UTC,1408823456
2026/03/17 12:23:36 UTC,1371794106
2026/05/16 21:16:36 UTC,1363262706
2026/03/17 12:23:50 UTC,145111864
2026/05/15 11:21:38 UTC,427698984
2026/03/17 12:21:48 UTC,1192922003
2026/05/16 11:48:34 UTC,1392960786
2026/03/12 02:46:09 UTC,1145099794
2026/05/13 17:44:38 UTC,1153581914
2025/06/06 18:02:44 UTC,708298753
2026/05/13 17:44:48 UTC,1153581914
2025/12/08 13:36:29 UTC,927024554
2026/05/11 11:43:19 UTC,1390065206
2026/01/26 03:50:11 UTC,1129303514
2026/05/11 14:16:43 UTC,1211485433
2026/01/11 13:14:44 UTC,745190743
2026/05/07 12:59:53 UTC,1404783766
2025/02/14 18:28:19 UTC,427698984
2026/05/06 11:15:05 UTC,145111864
2025/06/13 02:56:25 UTC,682015996
2026/05/04 11:50:39 UTC,908510906
2026/02/17 18:38:09 UTC,1165987953
2026/05/04 11:14:44 UTC,1066291726
