Date,Type,Link
2026-05-14 12:41:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7460157447266217985?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7460157447266217985%2C7460541871937703936%29
2026-05-14 11:05:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7454573511995654145
2026-05-14 11:04:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7460157447266217985
2026-05-13 17:46:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7458959619189776385
2026-05-13 17:45:04,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7458599464698556417
2026-05-13 16:30:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7458168277077291009?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7458168277077291009%2C7459686856180379649%29
2026-05-11 11:42:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7459566153447690240
2026-05-09 10:55:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7457025991169945600
2026-05-09 10:54:50,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7458710706490875904
2026-05-09 00:52:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7458604990941671425
2026-05-09 00:51:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7458573424504999936
2026-05-08 11:17:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7457994857316413440
2026-05-08 00:54:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7458238031876046848
2026-05-08 00:53:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7458273242512957440
2026-05-07 13:30:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7458140094084931585
2026-05-07 11:36:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7457912097595891712
2026-05-07 02:43:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7457254611096064001
2026-05-06 23:33:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7457832537344745472
2026-05-06 15:26:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7457791338193997824
2026-05-06 15:24:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7457755309625737217
2026-05-06 11:26:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7453247871279190016
2026-05-06 11:26:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7457473159454285824
2026-05-06 11:26:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7457433386542989312
2026-05-05 17:06:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7457453326117281793
2026-05-04 11:14:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7456820044195491840
2026-05-03 01:28:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7453967560842301440
2026-05-02 17:56:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7456072318574956544
2026-05-01 19:31:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7456028877925146624
2026-05-01 17:37:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7455751140144693248
2026-04-30 21:32:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7454557350075502593
2026-04-30 21:31:55,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7452370620182466561?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7452370620182466561%2C7455691124381409280%29
2026-04-30 21:30:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7455703348810539009
2026-04-30 16:16:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7452370620182466561?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7452370620182466561%2C7455639602523947011%29
2026-04-29 22:27:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7455293503091232768
2026-04-29 10:58:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7454922037292142592
2026-04-28 22:25:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7454629704902377472
2026-04-28 22:24:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7453431705543254016
