Name,Description,Position,Started On,Finished On
Toastmasters,Assisted in starting a Private Toastmasters club at Schneider Electric/DTN Bee Electric Club,Vice President of Membership,Oct 2016,Oct 2018
Emerging Professionals Network,,"Professional Development Team Lead, Vice President of EPN",May 2014,2018
