Title,Description,Url,Started On,Finished On
Convert Call Center Phone System from Avaya to NewVoiceMedia,"My Telco team and I worked to evaluate several different vendors to convert our Call Center phone system from an ""On Premise"" solution to a Cloud based solution. One of the main requirements was the compatibility and interoperability with Salesforce. The frontrunner ended up being NewVoiceMedia. We spent several months converting our call flows, training our user base and getting buy-in from management. When the system was converted there were a handful of minor issues which were resolved quickly but otherwise it was a success. ",,Jan 2018,Oct 2018
Major Product Move to new Data Center,"I managed a multi-million dollar project to move our market data products and our ticker plant environment out of two data centers into a new colocation data center based in another city. This involved multiple teams including R&D, Ops, Server, Network, Telco, and Data Center Facilities. It took 2 months longer to complete the project than we originally estimated but we were able to do it significantly under budget. The end result puts our products closer to the source of the data and closer to many of our major customers, reducing latency, which is important when dealing with market data. The savings that we saw by eliminating the long-haul circuits more than paid for the cost of the new colocation data center.",,Oct 2020,Dec 2021
Migrate contents of one data center to other data centers and AWS,"We are selling the building that houses one of our physical data centers. We need to migrate the servers, storage, etc... into other data centers as well as AWS. I am managing this project.",,May 2022,Aug 2022
