HashTag,CreatedTime,LastModifiedTime,State
devops,2018-12-27 14:36:11,2018-12-27 14:36:11,Follow
internetofthings,2018-12-27 14:35:53,2018-12-27 14:35:53,Follow
informationsecurity,2018-12-27 14:35:45,2018-12-27 14:35:45,Follow
computersecurity,2018-12-27 14:35:38,2018-12-27 14:35:44,Unfollow
cloudcomputing,2018-12-27 14:35:32,2018-12-27 14:35:32,Follow
management,2018-12-27 14:35:16,2018-12-27 14:35:16,Follow
